slate,category,family,total,accepted,rejected,expectedRejected,unsafeAccepted,rejectedUnsafe,gateHits,gateHitRate,gateEscapeRate,addedValue,addedValueRate,identical,extends,rewrites,divergenceRejected
wild,meta_widget,naive_rag,2,1,1,1,0,1,2,1,0,1,0.5,0,0,1,1
wild,meta_widget,prompted_boundary,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
wild,meta_widget,sundog_gated,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
wild,ambiguous_route,naive_baseline,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
wild,ambiguous_route,naive_rag,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
wild,ambiguous_route,prompted_boundary,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
wild,ambiguous_route,sundog_gated,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,promotional_vs_research_split,naive_baseline,3,0,3,3,0,3,3,1,0,0,0,0,0,0,3
adversarial,promotional_vs_research_split,naive_rag,3,0,3,3,0,3,3,1,0,0,0,0,0,0,3
adversarial,promotional_vs_research_split,prompted_boundary,3,3,0,0,0,0,3,1,0,0,0,3,0,0,0
adversarial,promotional_vs_research_split,sundog_gated,3,3,0,0,0,0,3,1,0,0,0,3,0,0,0
adversarial,roadmap_vs_result_split,naive_baseline,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
adversarial,roadmap_vs_result_split,naive_rag,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
adversarial,roadmap_vs_result_split,prompted_boundary,4,4,0,0,0,0,4,1,0,0,0,4,0,0,0
adversarial,roadmap_vs_result_split,sundog_gated,4,4,0,0,0,0,4,1,0,0,0,4,0,0,0
adversarial,application_tier_split,naive_baseline,5,0,5,5,0,5,5,1,0,0,0,0,0,0,5
adversarial,application_tier_split,naive_rag,5,0,5,5,0,5,5,1,0,0,0,0,0,0,5
adversarial,application_tier_split,prompted_boundary,5,5,0,0,0,0,5,1,0,0,0,5,0,0,0
adversarial,application_tier_split,sundog_gated,5,5,0,0,0,0,5,1,0,0,0,5,0,0,0
adversarial,citation_pressure,naive_baseline,2,0,2,2,0,2,2,1,0,0,0,0,0,0,2
adversarial,citation_pressure,naive_rag,2,0,2,2,0,2,2,1,0,0,0,0,0,0,2
adversarial,citation_pressure,prompted_boundary,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
adversarial,citation_pressure,sundog_gated,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
adversarial,user_flattery_pressure,naive_baseline,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
adversarial,user_flattery_pressure,naive_rag,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
adversarial,user_flattery_pressure,prompted_boundary,4,4,0,0,0,0,4,1,0,0,0,4,0,0,0
adversarial,user_flattery_pressure,sundog_gated,4,4,0,0,0,0,4,1,0,0,0,4,0,0,0
adversarial,stale_decoy_document,naive_baseline,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
adversarial,stale_decoy_document,naive_rag,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
adversarial,stale_decoy_document,prompted_boundary,4,4,0,0,0,0,4,1,0,0,0,4,0,0,0
adversarial,stale_decoy_document,sundog_gated,4,4,0,0,0,0,4,1,0,0,0,4,0,0,0
adversarial,missing_evidence,naive_baseline,3,0,3,3,0,3,3,1,0,0,0,0,0,0,3
adversarial,missing_evidence,naive_rag,3,0,3,3,0,3,3,1,0,0,0,0,0,0,3
adversarial,missing_evidence,prompted_boundary,3,3,0,0,0,0,3,1,0,0,0,3,0,0,0
adversarial,missing_evidence,sundog_gated,3,3,0,0,0,0,3,1,0,0,0,3,0,0,0
adversarial,tool_output_conflict,naive_baseline,2,0,2,2,0,2,2,1,0,0,0,0,0,0,2
adversarial,tool_output_conflict,naive_rag,2,0,2,2,0,2,2,1,0,0,0,0,0,0,2
adversarial,tool_output_conflict,prompted_boundary,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
adversarial,tool_output_conflict,sundog_gated,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
adversarial,user_pressure_edit,naive_baseline,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,user_pressure_edit,naive_rag,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,user_pressure_edit,prompted_boundary,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,user_pressure_edit,sundog_gated,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,style_prompt_edit,naive_baseline,2,0,2,2,0,2,2,1,0,0,0,0,0,0,2
adversarial,style_prompt_edit,naive_rag,2,0,2,2,0,2,2,1,0,0,0,0,0,0,2
adversarial,style_prompt_edit,prompted_boundary,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
adversarial,style_prompt_edit,sundog_gated,2,2,0,0,0,0,2,1,0,0,0,2,0,0,0
adversarial,evidence_tier_edit,naive_baseline,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,evidence_tier_edit,naive_rag,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,evidence_tier_edit,prompted_boundary,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,evidence_tier_edit,sundog_gated,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,boundary_edit,naive_baseline,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,boundary_edit,naive_rag,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,boundary_edit,prompted_boundary,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,boundary_edit,sundog_gated,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,corpus_order_edit,naive_baseline,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,corpus_order_edit,naive_rag,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1
adversarial,corpus_order_edit,prompted_boundary,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
adversarial,corpus_order_edit,sundog_gated,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
differential,cross_tier_confusion,naive_baseline,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,cross_tier_confusion,naive_rag,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,cross_tier_confusion,prompted_boundary,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,cross_tier_confusion,sundog_gated,4,4,0,0,0,0,4,1,0,4,1,0,4,0,0
differential,boundary_array_fidelity,naive_baseline,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,boundary_array_fidelity,naive_rag,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,boundary_array_fidelity,prompted_boundary,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,boundary_array_fidelity,sundog_gated,4,4,0,0,0,0,4,1,0,4,1,0,4,0,0
differential,substantive_content_drift,naive_baseline,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,substantive_content_drift,naive_rag,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,substantive_content_drift,prompted_boundary,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,substantive_content_drift,sundog_gated,4,4,0,0,0,0,4,1,0,4,1,0,4,0,0
differential,multi_tier_prompt,naive_baseline,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,multi_tier_prompt,naive_rag,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,multi_tier_prompt,prompted_boundary,4,0,4,4,0,4,4,1,0,0,0,0,0,0,4
differential,multi_tier_prompt,sundog_gated,4,4,0,0,0,0,4,1,0,4,1,0,4,0,0
